16339;57;2023-05-02;2023-04-01;КС-3575;1;Уничтожен;;Донецкая область;48.615335, 38.053756;;"[""https://t.me/lost_warinua/35110"", ""https://t.me/Rubric_lossesvsu/57""]";0;UA;3.536;[]
16340;63;2023-05-02;2022-10-01;ГАЗ-66;1;Уничтожен;;Внутренние области Украины;;;"[""https://t.me/Lost_warinua/35082"", ""https://www.tiktok.com/@valera7621/video/7224502380895816965"", ""https://t.me/Rubric_lossesvsu/63""]";0;UA;;[]
16341;69;2023-05-02;2023-05-02;Урал-4320;2;Уничтожен;;Где-то в зоне СВО;;;"[""https://t.me/lost_warinua/35088"", ""https://t.me/lost_warinua"", ""https://t.me/Rubric_lossesvsu/69""]";0;UA;;[]
16342;70;2023-05-02;;YPR-765A1;1;Уничтожен;;Донецкая область;48.576388, 37.908494;;"[""https://t.me/concordgroup_official/884"", ""https://t.me/Rubric_lossesvsu/70"", ""https://t.me/xronikabpla/4486""]";0;UA;2.474;"[""\u0423\u0410\u0421""]"
16343;70;2023-05-02;;Тактический пикап;1;Уничтожен;;Донецкая область;48.576388, 37.908494;;"[""https://t.me/concordgroup_official/884"", ""https://t.me/Rubric_lossesvsu/70"", ""https://t.me/xronikabpla/4486""]";0;UA;2.474;"[""\u0423\u0410\u0421""]"
16344;76;2023-05-02;2023-05-02;Тактический пикап;1;Уничтожен;;Луганская область;;;"[""https://t.me/razved_dozor"", ""https://t.me/Rubric_lossesvsu/76"", ""https://t.me/razved_dozor/4156""]";0;UA;;[]
16345;83;2023-05-03;2023-05-03;Т-72АВ;1;Поврежден;;Луганская область;;;"[""https://t.me/antiseptic_channel/774"", ""https://t.me/Rubric_lossesvsu/83"", ""https://t.me/antiseptic_channel""]";0;UA;;"[""\u041b\u0430\u043d\u0446\u0435\u0442""]"
16346;100;2023-05-03;2023-05-03;М113;1;Поврежден;;Харьковская область;49.290278, 37.940918;;"[""https://t.me/Rubric_lossesvsu/100"", ""https://t.me/kremlinprachka/24085"", ""https://t.me/kremlinprachka""]";0;UA;5.001;"[""\u0423\u0410\u0421""]"
16347;104;2023-05-03;2023-02-20;5П85С;1;Уничтожен;;Донецкая область;;;"[""https://t.me/WarZ_info"", ""https://t.me/Rubric_lossesvsu/104"", ""https://t.me/WarZ_info/454""]";0;UA;;"[""\u041b\u0430\u043d\u0446\u0435\u0442""]"
16348;115;2023-05-03;2022-08-22;ГАЗ-66;1;Уничтожен;;Харьковская область;;;"[""https://lostarmour.info/auto/40179"", ""https://t.me/zluchka_tactical"", ""https://t.me/Rubric_lossesvsu/115""]";0;UA;;[]
